record_id,screen_time_y1_arm_1_screen_time_1_complete,screen_time_y1_arm_1_screen_time_2_complete,screen_time_y1_arm_1_screen_time_3_complete,screen_time_y1_arm_1_screen_time_4_complete,screen_time_y1_arm_1_screen_time_5_complete,screen_time_y1_arm_1_screen_time_6_complete,screen_time_2_y1_arm_1_screen_time_1_2_complete,screen_time_2_y1_arm_1_screen_time_2_2_complete,screen_time_2_y1_arm_1_screen_time_3_2_complete
816,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
819,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
821,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
826,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
835,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
843,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
851,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
853,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
869,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
876,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
884,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
887,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
888,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
891,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
905,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
915,0.0,0.0,0.0,0.0,0.0,0.0,,,
923,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
935,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
940,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
950,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
951,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
952,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
963,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
968,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
975,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
977,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
981,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
983,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
997,,,,,,,2.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001,,,,,,,0.0,0.0,0.0
1006,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
1007,,,,,,,0.0,0.0,0.0
1008,,,,,,,2.0,2.0,2.0
1009,,,,,,,2.0,0.0,0.0
1043,,,,,,,2.0,2.0,2.0
1056,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1057,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
1076,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1078,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1083,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1088,2.0,0.0,0.0,0.0,0.0,0.0,,,
1089,2.0,2.0,2.0,0.0,0.0,0.0,,,
